name,identifier,site,created,region,evento,data,corrente
"comunita-montana-alburni","cma_065","https://www.opendata.maggioli.cloud/organization/comunita-montana-alburni","2025-12-10T09:13:31.261056","",ingresso,2025-12-10,1
"comune-di-budoni","c_b248","https://www.opendata.maggioli.cloud/organizzation/comune-di-budoni","2025-12-04T11:53:51.279080","20",ingresso,2025-12-08,1
"comune-di-casamassima","c_b923","https://www.opendata.maggioli.cloud/organization/comune-di-casamassima","2025-12-04T11:43:12.346894","16",ingresso,2025-12-08,1
"comune-di-cisternino","c_c741","https://www.opendata.maggioli.cloud/organizzation/comune-di-cisternino","2025-12-04T11:49:12.634344","16",ingresso,2025-12-08,1
"comune-di-nuoro","c_f979","https://www.comune.nuoro.it/","2025-12-02T10:29:04.473738","20",ingresso,2025-12-08,1
"comune-di-soresina","c_i849","https://www.comune.soresina.cr.it/","2025-12-07T09:08:18.928607","",ingresso,2025-12-08,1
"comune-di-vado-ligure","c_l528","https://comune.vado-ligure.sv.it/","2025-12-07T09:15:17.830343","07",ingresso,2025-12-08,1
"comune-di-vedano-olona","c_l703","https://comune.vedano-olona.va.it/","2025-12-01T15:28:30.379128","03",ingresso,2025-12-08,1
"castelfranco-pian-di-sco","c_cp112","https://www.opendata.maggioli.cloud/organizzation/comune-di-castelfranco-piandisco","2025-11-27T14:32:18.452160","05",ingresso,2025-11-30,0
"comune-di-bussero","c_b292","https://www.opendata.maggioli.cloud/organization/comune-di-bussero","2025-11-28T14:45:38.829608","03",ingresso,2025-11-30,1
"comune-di-lavagna","c_e488","https://www.comune.lavagna.ge.it/#","2025-11-07T11:53:23.592238","07",ingresso,2025-11-26,1
"comune-di-lavagna","c_e488","https://www.comune.lavagna.ge.it","2025-11-07T11:53:23.592238","07",uscita,2025-11-26,1
"provincia-di-lodi","p_lo","https://www.opendata.maggioli.cloud/organizzation/provincia-di-lodi/","2025-11-24T16:29:52.273055","03",ingresso,2025-11-26,1
"comune-di-albino","c_a163","https://www.comune.albino.bg.it/","2025-11-20T16:24:56.538846","03",ingresso,2025-11-21,1
"comune-di-barga","c_a657","https://www.comune.barga.lu.it/","2025-11-20T16:15:21.950445","07",ingresso,2025-11-21,1
"comune-di-comacchio","c_c912","https://www.opendata.maggioli.cloud/organization/comune-di-comacchio","2025-11-19T10:29:32.284647","05",ingresso,2025-11-21,1
"comune-di-novi-ligure","c_f965","https://www.comune.noviligure.al.it/","2025-11-20T16:50:25.433137","07",ingresso,2025-11-21,1
"comune-di-ruvo-di-puglia","c_h645","https://www.comune.ruvodipuglia.ba.it#","2025-11-18T08:46:43.989940","16",ingresso,2025-11-21,1
"comune-di-ruvo-di-puglia","c_h645","https://www.comune.ruvodipuglia.ba.it/ ","2025-11-18T08:46:43.989940","16",uscita,2025-11-21,1
"comune-di-taggia","c_­l024","https://www.comune.taggia.im.it/","2025-11-18T14:23:35.816325","07",ingresso,2025-11-21,1
"comune-di-giaveno","c_e020","https://www.comune.giaveno.to.it","2025-11-17T17:10:05.094601","01",ingresso,2025-11-18,1
"comune-di-ruvo-di-puglia","c_h645","https://www.comune.ruvodipuglia.ba.it/ ","2025-11-18T08:46:43.989940","16",ingresso,2025-11-18,1
"comune-di-sannazzaro-de-burgondi","c_i048","https://www.comune.sannazzarodeburgondi.pv.it","2025-11-13T14:28:52.846510","03",ingresso,2025-11-15,1
"provincia-di-forli-cesena","p_fc","https://www.opendata.maggioli.cloud/organizzation/provincia-di-forli-cesena","2025-11-13T13:58:53.251079","08",ingresso,2025-11-15,1
"comune-di-spezzano-albanese"," c_i895","https://www.comune.spezzano-albanese.cs.it","2025-11-10T09:14:51.252789","18",ingresso,2025-11-13,1
"comune-di-lavagna","c_e488","https://www.comune.lavagna.ge.it","2025-11-07T11:53:23.592238","07",ingresso,2025-11-08,1
"comune-di-settimo-san-pietro","c_i699","https://www.comune.settimosanpietro.ca.it/","2025-11-07T11:45:08.696522","20",ingresso,2025-11-08,1
"comune-di-albenga","c_a145","https://www.opendata.maggioli.cloud/organization/comune-di-albenga","2025-11-05T11:34:02.397568","07",ingresso,2025-11-06,1
"comune-di-baiso","c_a586","https://www.opendata.maggioli.cloud/organization/comune-di-baiso","2025-11-04T15:13:59.709624","08",ingresso,2025-11-06,1
"comune-di-borgo-a-mozzano","c_b007","https://www.comune.borgoamozzano.lu.it/","2025-10-29T16:40:38.039017","09",ingresso,2025-11-06,1
"comune-di-borgo-san-lorenzo","c_b036","https://www.opendata.maggioli.cloud/organizzation/comune-di-borgo-san-lorenzo","2025-11-03T16:39:51.118411","09",ingresso,2025-11-06,1
"comune-di-capoterra","c_b675","https://www.comune.capoterra.ca.it","2025-10-30T11:50:59.469368","20",ingresso,2025-11-06,1
"comune-di-casalgrande","c_b893","https://www.opendata.maggioli.cloud/organization/comune-di-casalgrande","2025-11-04T15:18:21.397153","08",ingresso,2025-11-06,1
"comune-di-castellarano","c_a586","https://www.opendata.maggioli.cloud/organization/comune-di-castellarano","2025-11-04T15:21:23.166102","08",ingresso,2025-11-06,1
"comune-di-diano-marina","c_d297","https://www.opendata.maggioli.cloud/organizzation/comune-di-diano-marina","2025-11-04T15:09:44.875179","07",ingresso,2025-11-06,1
"comune-di-isernia","c_e335","https://www.comune.isernia.it","2025-10-27T14:34:23.974939","14",ingresso,2025-11-06,1
"comune-di-osio-sotto","c_g160","https://www.opendata.maggioli.cloud/organization/comune-di-osio-sotto","2025-11-05T11:31:58.481853","03",ingresso,2025-11-06,1
"comune-di-rubiera","c_h628","https://www.opendata.maggioli.cloud/organization/comune-di-rubiera","2025-11-04T15:24:42.985201","08",ingresso,2025-11-06,1
"comune-di-scandiano","c_i496","https://www.opendata.maggioli.cloud/organization/comune-di-scandiano","2025-11-04T15:26:53.308459","08",ingresso,2025-11-06,1
"comune-di-viano","c_l831","https://www.opendata.maggioli.cloud/organization/comune-di-viano","2025-11-04T15:29:29.385814","08",ingresso,2025-11-06,1
"unione-tresinaro-secchia","uts_re","https://www.opendata.maggioli.cloud/organization/unione-tresinaro-secchia","2025-11-04T15:31:24.946684","08",ingresso,2025-11-06,1
"universita-ca-foscari-di-venezia","unive","https://www.unive.it/pag/50366/","2025-11-03T11:41:05.088415","05",ingresso,2025-11-06,1
"pagopa-s-p-a","5N2TR557","https://www.pagopa.it","2025-10-23T15:21:58.844799","",ingresso,2025-10-25,1
"azienda-ospedaliero-universitaria-pisana"," aou_pisa","https://www.ao-pisa.toscana.it/","2025-10-09T08:38:19.380327","09",ingresso,2025-10-10,1
"comune-di-treviglio","c_l400","https://www.opendata.maggioli.cloud/organizzation/comune-di-treviglio","2025-10-07T15:49:27.740922","03",ingresso,2025-10-08,1
"comune-di-bussoleno","c_b297","https://www.opendata.maggioli.cloud/organization/comune-di-bussoleno","2025-10-03T12:36:41.884115","01",ingresso,2025-10-06,1
"gal-terra-dei-messapi","01796490744","https://terradeimessapi.it","2025-09-29T15:10:55.790559","16",ingresso,2025-09-30,1
"aci","aci","http://lod.aci.it/","2024-03-08T18:07:00.168891","",ingresso,2025-09-29,1
"agcm","agcm_","https://www.agcm.it","2024-06-05T13:28:06.689464","",ingresso,2025-09-29,1
"agenzia-di-tutela-della-salute-dell-insubria","atsin","https://www.ats-insubria.it","2025-02-06T10:46:27.761875","03",ingresso,2025-09-29,1
"agenzia-di-tutela-della-salute-della-brianza","atsmb","https://www.ats-brianza.it/","2025-02-13T16:26:32.473301","03",ingresso,2025-09-29,1
"agenzia-di-tutela-della-salute-della-val-padana","atsvp","https://www.ats-valpadana.it/web/guest/ufficio-relazioni-col-pubblico","2024-11-14T15:24:06.603076","03",ingresso,2025-09-29,1
"agenzia-di-tutela-della-salute-di-bergamo","atsb","https://www.ats-bg.it","2025-03-17T10:08:57.085812","03",ingresso,2025-09-29,1
"agenzia-di-tutela-della-salute-di-brescia","atsbs","https://www.ats-brescia.it","2025-05-05T09:04:03.721945","03",ingresso,2025-09-29,1
"agenzia-di-tutela-della-salute-di-pavia","atspv","https://www.ats-pavia.it/open-data","2025-02-13T16:26:48.651604","03",ingresso,2025-09-29,1
"agenzia-laore-sardegna","ls_ca","https://www.agenzialaore.it/","2024-12-04T19:33:26.317012","20",ingresso,2025-09-29,1
"agenzia-nazionale-per-la-meteorologia-e-climatologia-italiameteo","8W0Q4VWZ","https://www.mistralportal.it","2025-06-30T15:56:13.821200","",ingresso,2025-09-29,1
"agenzia-nazionale-per-la-sicurezza-delle-ferrovie-e-delle-infrastrutture-stradali-e-autostradali","ansfisa","https://www.ansfisa.gov.it/","2024-10-23T15:26:40.841328","",ingresso,2025-09-29,1
"agenzia-per-l-italia-digitale","agid","https://agid.gov.it","2024-03-08T18:09:06.901358","",ingresso,2025-09-29,1
"agenzia-regionale-per-il-lavoro-la-formazione-e-l-accreditamento","arlfa","https://www.alfaliguria.it/index.php/open-data","2025-05-07T08:32:09.067485","07",ingresso,2025-09-29,1
"agenzia-regionale-per-la-protezione-dell-ambiente-della-campania","arlpa_","https://www.arpacampania.it/","2025-02-13T16:35:08.510738","15",ingresso,2025-09-29,1
"agenzia-regionale-per-la-protezione-dell-ambiente-della-sardegna","arpas_ca","https://www.sardegnaambiente.it/arpas/","2025-04-11T15:13:54.286754","20",ingresso,2025-09-29,1
"agenzia-veneta-per-i-pagamenti-avepa","AVEPA","https://www.avepa.it/","2024-12-05T14:26:20.386165","05",ingresso,2025-09-29,1
"anac","cvtiap","https://dati.anticorruzione.it","2024-03-08T17:56:48.105840","",ingresso,2025-09-29,1
"arsac-azienda-regionale-per-lo-sviluppo-dell-agricoltura-calabrese","arsac","https://arsac.calabria.it/","2024-12-04T19:25:34.119326","18",ingresso,2025-09-29,1
"asbr-azienda-speciale-servizi-bassa-reggiana","assbre","https://asbr.it/","2024-11-19T16:04:12.589435","08",ingresso,2025-09-29,1
"asp-ambito-9","_aspan","https://www.aspambitonove.it","2025-03-07T16:12:11.629737","",ingresso,2025-09-29,1
"aspal-agenzia-sarda-per-le-politiche-attive-del-lavoro","aril_","https://www.aspalsardegna.it/","2024-09-11T14:37:28.218872","20",ingresso,2025-09-29,1
"asst-centro-specialistico-ortopedico-traumatologico-gaetano-pini-cto","asstgp","","2025-02-07T15:12:20.270388","03",ingresso,2025-09-29,1
"asst-fatebenefratelli-sacco","afs","","2025-02-07T15:15:27.319533","03",ingresso,2025-09-29,1
"asst-ovest-milanese","asstom","","2025-04-16T15:39:24.108253","03",ingresso,2025-09-29,1
"asst-spedali-civili-di-brescia","asstb","https://www.asst-spedalicivili.it/contenuto/contenuti--ecm/ufficio-relazioni-con-il-pubblico.ashx","2025-02-19T10:35:54.580960","03",ingresso,2025-09-29,1
"ats-citta-metropolitana-di-milano","atsmetmi","https://www.ats-milano.it/","2024-11-04T12:38:56.597024","03",ingresso,2025-09-29,1
"ats-della-montagna","atsm","https://www.ats-montagna.it/","2025-02-19T13:36:12.400099","03",ingresso,2025-09-29,1
"autorita-d-ambito-n-1-verbano-cusio-ossola-e-pianura-novarese","adanv","","2025-02-07T09:14:10.452115","01",ingresso,2025-09-29,1
"autorita-di-regolazione-dei-trasporti","art","https://www.autorita-trasporti.it","2025-03-11T11:20:25.155377","",ingresso,2025-09-29,1
"autorita-idrica-toscana","ait_048","https://www.autoritaidrica.toscana.it","2024-10-17T12:27:39.926586","09",ingresso,2025-09-29,1
"azienda-consorziale-trasporti","actre","https://www.actre.it","2024-11-20T14:48:58.237141","08",ingresso,2025-09-29,1
"azienda-ospedaliera-di-rilievo-nazionale-antonio-cardarelli","aorn_063","https://www.ospedalecardarelli.it","2025-02-13T16:36:46.893571","",ingresso,2025-09-29,1
"azienda-regionale-per-il-diritto-allo-studio-universitario-di-venezia","arid_027","","2025-02-07T09:06:35.439896","",ingresso,2025-09-29,1
"azienda-sanitaria-locale-n-4-di-teramo","a4_te","https://www.aslteramo.it","2025-08-27T08:11:02.251255","13",ingresso,2025-09-29,1
