,2020,2021,2022,1 gennaio 9 luglio 2022,1 gennaio 9 luglio 2023
Omicidi commessi,286,306,322,161,171
...di cui con vittime di sesso femminile,119,120,126,68,62
...di cui in ambito familiare/affettivo,147,151,141,79,78
...di cui con vittime di sesso femminile,101,103,104,60,49
…di cui da partner/ex partner,73,80,67,37,33
...di cui con vittime di sesso femminile,68,70,61,37,29
