,2018,2019,2020,1 gennaio 21 novembre  2020,1 gennaio 21 novembre  2021
Omicidi commessi,359,317,286,257,263
...di cui con vittime di sesso femminile,141,111,116,101,109
...di cui in ambito familiare/affettivo,161,153,146,130,136
...di cui con vittime di sesso femminile,111,94,99,87,93
(…di cui da partner/ex partner),75,68,67,59,63
