,2018,2019,2020,1 gennaio 5 settembre 2020,1 gennaio 5 settembre 2021
Omicidi commessi,359,317,285,196,186
...di cui con vittime di sesso femminile,141,111,116,83,76
...di cui in ambito familiare/affettivo,161,153,146,104,100
...di cui con vittime di sesso femminile,111,94,99,72,66
(…di cui da partner/ex partner),75,68,67,48,47
