,2019,2020,2021,1 - 9 gennaio  2021,1 - 9 gennaio  2022
Omicidi commessi,317,287,295,9,7
...di cui con vittime di sesso femminile,111,117,118,1,2
...di cui in ambito familiare/affettivo,153,147,146,5,4
...di cui con vittime di sesso femminile,94,101,102,1,2
(…di cui da partner/ex partner),68,68,70,,2
