,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2019,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2020,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2021,1gennaio 18settembre2021,1gennaio 18settembre2022
Omicidi commessi,315,285,303,216,211
...dicuiconvittimedisessofemminile,110,118,119,88,78
...di cui in ambito familiare/affettivo,152,147,148,111,92
...dicuiconvittimedisessofemminile,93,101,103,75,68
…di cui da partner/ex partner,80,73,78,57,44
...dicuiconvittimedisessofemminile,67,68,70,52,41
