,2020,2021,2022,1gennaio 10settembre 2022,1gennaio 10 settembre  2023
Omicidi commessi,286,306,322,218,230
...dicuiconvittimedisessofemminile,119,120,126,81,80
...di cui in ambito familiare/affettivo,147,151,142,96,101
...dicuiconvittimedisessofemminile,101,103,104,71,64
…di cui da partner/ex partner,73,80,68,46,45
...dicuiconvittimedisessofemminile,68,70,61,43,41
