,2020,2021,2022,1 gennaio 20 agosto 2022,1 gennaio 20 agosto 2023
Omicidi commessi,286,306,322,208,213
...di cui con vittime di sesso femminile,119,120,126,79,76
...di cui in ambito familiare/affettivo,147,151,142,93,95
...di cui con vittime di sesso femminile,101,103,104,69,61
…di cui da partner/ex partner,73,80,68,44,42
...di cui con vittime di sesso femminile,68,70,61,41,38
