,2019,2020,2021,1gennaio 6novembre  2021,1gennaio 6novembre  2022
Omicidi commessi,316,285,302,254,256
...dicuiconvittimedisessofemminile,111,118,118,103,94
...di cui in ambito familiare/affettivo,152,147,147,127,111
...dicuiconvittimedisessofemminile,93,101,102,88,82
…di cui da partner/ex partner,80,73,77,65,52
...dicuiconvittimedisessofemminile,67,68,69,59,48
