,2019,2020,2021,1gennaio 9ottobre2021,1gennaio 9ottobre2022
Omicidi commessi,315,285,303,230,226
...dicuiconvittimedisessofemminile,110,118,119,93,83
...di cui in ambito familiare/affettivo,152,147,148,117,99
...dicuiconvittimedisessofemminile,93,101,103,79,72
…di cui da partner/ex partner,80,73,78,59,47
...dicuiconvittimedisessofemminile,67,68,70,54,43
