,2020,2021,2022,1 gennaio 26 marzo 2022,1 gennaio 26 marzo 2023
Omicidi commessi,286,304,319,79,78
...di cui con vittime di sesso femminile,119,119,125,29,27
...di cui in ambito familiare/affettivo,147,148,140,40,37
...di cui con vittime di sesso femminile,101,102,103,27,26
…di cui da partner/ex partner,73,78,67,16,19
...di cui con vittime di sesso femminile,68,69,61,16,17
