,2019,2020,2021,1 gennaio 3 luglio 2021,1 gennaio 3 luglio 2022
Omicidi commessi,315,286,304,149,144
...di cui con vittime di sesso femminile,109,117,118,60,61
...di cui in ambito familiare/affettivo,152,147,148,81,69
...di cui con vittime di sesso femminile,92,101,103,52,53
…di cui da partner/ex partner,79,73,78,37,33
...di cui con vittime di sesso femminile,66,68,70,34,33
