,2018,2019,2020,1 gennaio 12 settembre  2020,1 gennaio 12 settembre  2021
Omicidi commessi,359,317,286,203,197
...di cui con vittime di sesso femminile,141,111,116,84,81
...di cui in ambito familiare/affettivo,161,153,146,106,105
...di cui con vittime di sesso femminile,111,94,99,73,70
(…di cui da partner/ex partner),75,68,67,48,50
