,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2019,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2020,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2021,1 gennaio 11 dicembre  2021,1 gennaio 11 dicembre  2022
Omicidi commessi,316,285,302,285,291
...di cui con vittime di sesso femminile,111,118,118,113,114
...di cui in ambito familiare/affettivo,152,147,147,141,127
...di cui con vittime di sesso femminile,93,101,102,98,93
…di cui da partner/ex partner,80,73,77,72,59
...di cui con vittime di sesso femminile,67,68,69,65,54
