,2018,2019,2020,2021
Omicidi commessi,359,317,287,295
...di cui con vittime di sesso femminile,141,111,117,118
...di cui in ambito familiare/affettivo,161,153,147,146
...di cui con vittime di sesso femminile,111,94,101,102
(…dicuidapartner/expartner),75,68,68,70
