,2018,2019,2020,1gennaio 18luglio2020,1gennaio 18luglio2021
Omicidi commessi,359,316,285,157,149
...di cui con vittime di sesso femminile,141,110,116,71,60
...di cui in ambito familiare/affettivo,161,152,145,84,83
...di cui con vittime di sesso femminile,111,93,99,63,52
(…dicuidapartner/expartner),75,67,67,41,37
