,2018,2019,2020,1gennaio  5dicembre2020,1gennaio 5dicembre2021
Omicidi commessi,359,317,286,265,272
...di cui con vittime di sesso femminile,141,111,116,106,110
...di cui in ambito familiare/affettivo,161,153,146,135,137
...di cui con vittime di sesso femminile,111,94,99,92,94
(…dicuidapartner/expartner),75,68,67,62,64
