,2018,2019,2020,1gennaio 16maggio2020,1gennaio 16maggio2021
Omicidi commessi,359,316,283,95,94
...di cui con vittime di sesso femminile,141,110,116,46,38
...di cui in ambito familiare/affettivo,161,152,145,53,57
...di cui con vittime di sesso femminile,111,93,99,40,34
(…dicuidapartner/expartner),75,67,67,26,25
