,2019,2020,2021,1gennaio 18dicembre2021,1gennaio 18dicembre2022
Omicidi commessi,316,285,302,287,300
...dicuiconvittimedisessofemminile,111,118,118,114,119
...di cui in ambito familiare/affettivo,152,147,147,141,133
...dicuiconvittimedisessofemminile,93,101,102,98,97
…di cui da partner/ex partner,80,73,77,72,62
...dicuiconvittimedisessofemminile,67,68,69,65,57
