,2020,2021,2022,1gennaio 3settembre 2022,1gennaio 3 settembre  2023
Omicidi commessi,286,306,322,215,225
...dicuiconvittimedisessofemminile,119,120,126,81,77
...di cui in ambito familiare/affettivo,147,151,142,96,98
...dicuiconvittimedisessofemminile,101,103,104,71,61
…di cui da partner/ex partner,73,80,68,46,42
...dicuiconvittimedisessofemminile,68,70,61,43,38
