,2019,2020,2021,1 gennaio 4 settembre 2021,1 gennaio 4 settembre 2022
Omicidi commessi,315,285,303,195,204
...di cui con vittime di sesso femminile,110,118,119,77,78
...di cui in ambito familiare/affettivo,152,147,148,103,92
...di cui con vittime di sesso femminile,93,101,103,68,68
…di cui da partner/ex partner,80,73,78,52,44
...di cui con vittime di sesso femminile,67,68,70,47,41
