,2018,2019,2020,1gennaio 30maggio2020,1gennaio 30maggio2021
Omicidi commessi,359,316,283,107,104
...di cui con vittime di sesso femminile,141,110,116,52,42
...di cui in ambito familiare/affettivo,161,152,145,60,62
...di cui con vittime di sesso femminile,111,93,99,46,38
(…dicuidapartner/expartner),75,67,67,30,27
