,(fonte DCPC. dati operativi).2020,(fonte DCPC. dati operativi).2021,(fonte DCPC. dati operativi).2022,1 gennaio 22 ottobre 2022,1 gennaio 22 ottobre 2023
[Omicidi commessi,287,306,323,248,268
4di cui con vittime disesso femminile,119,120,127,95,96
di in ambito familiare /affettivo cui,147,151,143,111,118
di cui con vittime disesso femminile,101,103,104,82,77
di cui da partner/ex partner,73,80,69,54,53
cui con vittime disesso fenmnile eedi,68,70,61,49,49
