,2020,2021,2022,1 gennaio giugno 2022,gennaio giugno 2023
Omicidi commessi,286,306,322,126,138
di cui con vittime di sesso femminile,119,120,126,50,49
di cui in ambito familiare/ affettivo,147,151,141,59,64
di cui con vittime di sesso femminile,101,103,104,44,
di cui da partner/ex partner,73,80,67,25,27
di cui con vittime di sesso femminile,68,70,61,25,24
