,2020,2021,2022,1gennaio 6agosto2022,1gennaio 6agosto2023
Omicidi commessi,286,306,322,196,198
...dicuiconvittimedisessofemminile,119,120,126,77,72
...di cui in ambito familiare/affettivo,147,151,142,91,89
...dicuiconvittimedisessofemminile,101,103,104,67,57
…di cui da partner/ex partner,73,80,68,43,39
...dicuiconvittimedisessofemminile,68,70,61,40,35
