,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2019,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2020,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2021,1 gennaio 11 settembre 2021,1 gennaio 11 settembre 2022
Omicidi commessi,315,285,303,207,208
...di cui con vittime di sesso femminile,110,118,119,83,78
...di cui in ambito familiare/affettivo,152,147,148,107,92
...di cui con vittime di sesso femminile,93,101,103,72,68
…di cui da partner/ex partner,80,73,78,55,44
...di cui con vittime di sesso femminile,67,68,70,50,41
