,2018,2019,2020,1 gennaio 19 settembre 2020,1 gennaio 19 settembre 2021
Omicidi commessi,359,317,286,210,206
...di cui con vittime di sesso femminile,141,111,116,85,86
...di cui in ambito familiare/affettivo,161,153,146,107,110
...di cui con vittime di sesso femminile,111,94,99,74,73
(…di cui da partner/ex partner),75,68,67,49,52
