,2019,2020,2021,1 gennaio 13 novembre  2021,1 gennaio 13 novembre  2022
Omicidi commessi,316,285,302,258,261
...di cui con vittime di sesso femminile,111,118,118,103,96
...di cui in ambito familiare/affettivo,152,147,147,127,113
...di cui con vittime di sesso femminile,93,101,102,88,84
…di cui da partner/ex partner,80,73,77,65,53
...di cui con vittime di sesso femminile,67,68,69,59,49
