,2019,2020,2021,1 gennaio 4 dicembre  2021,1 gennaio 4 dicembre  2022
Omicidi commessi,316,285,302,275,286
...di cui con vittime di sesso femminile,111,118,118,109,110
...di cui in ambito familiare/affettivo,152,147,147,136,126
...di cui con vittime di sesso femminile,93,101,102,94,92
…di cui da partner/ex partner,80,73,77,68,58
...di cui con vittime di sesso femminile,67,68,69,62,53
