,2020,2021,2022,1 gennaio 28 maggio 2022,1 gennaio 28 maggio 2023
Omicidi commessi,286,306,322,123,129
...di cui con vittime di sesso femminile,119,120,126,50,45
...di cui in ambito familiare/affettivo,147,151,141,59,58
...di cui con vittime di sesso femminile,101,103,104,44,37
…di cui da partner/ex partner,73,80,67,25,24
...di cui con vittime di sesso femminile,68,70,61,25,22
