,2020,2021,2022,gennaio 18 giugno 2022,gennaio 18 giugno 2023
Omicidi commessi,286,306,322,142,151
di cui con vittime di sesso femminile,119,120,126,59,55
di cui in ambito familiare/ affettivo,147,151,141,68,70
di cui con vittime di sesso femminile,101,103,104,52,45
di cui da partner/ex partner,73,80,67,30,29
di cui con vittime di sesso femminile,68,70,61,30,26
