,2018,2019,2020,1gennaio 15agosto2020,1gennaio 15agosto2021
Omicidi commessi,359,317,285,182,170
...di cui con vittime di sesso femminile,141,111,116,79,69
...di cui in ambito familiare/affettivo,161,153,145,96,93
...di cui con vittime di sesso femminile,111,94,99,69,60
(…dicuidapartner/expartner),75,68,67,46,43
