,2019,2020,2021,1-16gennaio  2021,1-16gennaio  2022
Omicidi commessi,317,287,301,14,12
...di cui con vittime di sesso femminile,111,117,119,4,3
...di cui in ambito familiare/affettivo,153,147,146,9,5
...di cui con vittime di sesso femminile,94,101,103,4,3
(…dicuidapartner/expartner),68,68,70,2,3
