,2020,2021,2022,1gennaio 8ottobre2022,1gennaio 8ottobre2023
Omicidi commessi,287,306,322,234,260
...dicuiconvittimedisessofemminile,119,120,126,86,92
...di cui in ambito familiare/affettivo,147,151,143,102,117
...dicuiconvittimedisessofemminile,101,103,104,75,76
…di cui da partner/ex partner,73,80,69,50,52
...dicuiconvittimedisessofemminile,68,70,61,45,48
