,2019,2020,2021,1 gennaio 28 agosto 2021,1 gennaio 28 agosto 2022
Omicidi commessi,315,285,303,193,200
...di cui con vittime di sesso femminile,110,118,119,77,77
...di cui in ambito familiare/affettivo,152,147,148,103,90
...di cui con vittime di sesso femminile,93,101,103,68,67
…di cui da partner/ex partner,80,73,78,52,42
...di cui con vittime di sesso femminile,67,68,70,47,40
