,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2020,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2021,2022,1gennaio  12novembre2022,1gennaio  12novembre2023
Omicidi commessi,287,308,324,274,285
...dicuiconvittimedisessofemminile,119,122,127,101,102
...di cui in ambito familiare/affettivo,147,153,144,120,125
...dicuiconvittimedisessofemminile,101,105,104,88,82
…di cui da partner/ex partner,73,80,69,56,58
...dicuiconvittimedisessofemminile,68,70,61,51,53
