,2019,2020,2021,1 gennaio 7 agosto 2021,1 gennaio 7 agosto 2022
Omicidi commessi,315,285,303,172,189
...di cui con vittime di sesso femminile,110,118,119,68,75
...di cui in ambito familiare/affettivo,152,147,148,92,86
...di cui con vittime di sesso femminile,93,101,103,59,65
…di cui da partner/ex partner,80,73,78,45,40
...di cui con vittime di sesso femminile,67,68,70,40,39
