,2018,2019,2020,1gennaio 22agosto2020,1gennaio 22agosto2021
Omicidi commessi,359,317,285,188,178
...di cui con vittime di sesso femminile,141,111,116,81,74
...di cui in ambito familiare/affettivo,161,153,145,100,99
...di cui con vittime di sesso femminile,111,94,99,71,65
(…dicuidapartner/expartner),75,68,67,48,46
