,2021,2022,2023
Omicidi commessi,308,325,330
...dicuiconvittimedisessofemminile,122,128,120
...di cui in ambito familiare/affettivo,153,144,146
...dicuiconvittimedisessofemminile,105,104,97
…di cui da partner/ex partner,80,69,69
...dicuiconvittimedisessofemminile,70,61,64
