,2019,2020,2021,1gennaio 26giugno2021,1gennaio 26giugno2022
Omicidi commessi,315,286,304,141,138
...dicuiconvittimedisessofemminile,109,117,118,56,59
...di cui in ambito familiare/affettivo,152,147,148,79,66
...dicuiconvittimedisessofemminile,92,101,103,51,51
…di cui da partner/ex partner,79,73,78,36,31
...dicuiconvittimedisessofemminile,66,68,70,33,31
