,2019,2020,2021,1gennaio 30ottobre  2021,1gennaio 30ottobre  2022
Omicidi commessi,316,285,302,248,246
...dicuiconvittimedisessofemminile,111,118,118,101,91
...di cui in ambito familiare/affettivo,152,147,147,124,106
...dicuiconvittimedisessofemminile,93,101,102,86,79
…di cui da partner/ex partner,80,73,77,62,50
...dicuiconvittimedisessofemminile,67,68,69,57,46
