,2018,2019,2020,1 gennaio 26 dicembre  2020,1 gennaio 26 dicembre  2021
Omicidi commessi,359,317,287,285,289
...di cui con vittime di sesso femminile,141,111,117,116,116
...di cui in ambito familiare/affettivo,161,153,147,147,144
...di cui con vittime di sesso femminile,111,94,101,101,100
(…di cui da partner/ex partner),75,68,68,68,68
