,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2019,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2020,Omicidi volontari consumati in Italia (fonte D.C.P.C. - dati operativi).2021,1gennaio 23ottobre2021,1gennaio 23ottobre2022
Omicidi commessi,316,285,302,237,235
...dicuiconvittimedisessofemminile,111,118,118,96,89
...di cui in ambito familiare/affettivo,152,147,147,120,104
...dicuiconvittimedisessofemminile,93,101,102,82,77
…di cui da partner/ex partner,80,73,77,61,50
...dicuiconvittimedisessofemminile,67,68,69,56,46
