,2019,2020,2021,1 gennaio 6 febbraio 2021,1 gennaio 6 febbraio 2022
Omicidi commessi,315,287,301,25,29
...di cui con vittime di sesso femminile,109,117,119,10,10
...di cui in ambito familiare/affettivo,151,147,147,17,15
...di cui con vittime di sesso femminile,92,101,103,8,9
(…di cui da partner/ex partner),66,68,70,6,6
