,2019,2020,2021,1 gennaio 16 ottobre  2021,1 gennaio 16 ottobre  2022
Omicidi commessi,315,285,302,235,230
...di cui con vittime di sesso femminile,110,118,118,95,86
...di cui in ambito familiare/affettivo,152,147,147,119,101
...di cui con vittime di sesso femminile,93,101,102,81,74
…di cui da partner/ex partner,80,73,77,60,48
...di cui con vittime di sesso femminile,67,68,69,55,44
