,2019,2020,2021,1 gennaio 25 settembre  2021,1 gennaio 25 settembre  2022
Omicidi commessi,315,285,303,219,215
...di cui con vittime di sesso femminile,110,118,119,90,81
...di cui in ambito familiare/affettivo,152,147,148,114,95
...di cui con vittime di sesso femminile,93,101,103,77,71
…di cui da partner/ex partner,80,73,78,58,45
...di cui con vittime di sesso femminile,67,68,70,53,42
