,Omicidi volontari consumati in Italia (fonte D.CPC. dati operativi).2019,Omicidi volontari consumati in Italia (fonte D.CPC. dati operativi).2020,2021,gennaio 20 novembre 2021,gennaio 20 novembre 2022
Omicidi commessi,316,285,302,268,273
cui con vittime di sesso femminile ~di,111,118,118,109,104
di cui in ambito familiare/ affettivo,152,147,147,136,120
~di cui con vittime di sesso femminile,93,101,102,94,88
di cui da partner/ex partner,80,73,77,68,56
cui con vittime di sesso femminile ~di,67,68,69,62,52
