,(fonte D.C.P.C. - dati operativi).2020,(fonte D.C.P.C. - dati operativi).2021,(fonte D.C.P.C. - dati operativi).2022,1gennaio 7maggio2022,1gennaio  7maggio2023
Omicidi commessi,286,306,320,116,117
...dicuiconvittimedisessofemminile,119,120,126,46,43
...di cui in ambito familiare/affettivo,147,151,141,56,55
...dicuiconvittimedisessofemminile,101,103,104,41,37
…di cui da partner/ex partner,73,80,67,24,24
...dicuiconvittimedisessofemminile,68,70,61,24,22
