,2019,2020,2021,1 gennaio 27 novembre  2021,1 gennaio 27 novembre  2022
Omicidi commessi,316,285,302,274,281
...di cui con vittime di sesso femminile,111,118,118,109,107
...di cui in ambito familiare/affettivo,152,147,147,136,125
...di cui con vittime di sesso femminile,93,101,102,94,91
…di cui da partner/ex partner,80,73,77,68,57
...di cui con vittime di sesso femminile,67,68,69,62,52
