,2020,2021,2022,1 gennaio 27 agosto 2022,1 gennaio 27 agosto 2023
Omicidi commessi,286,306,322,210,216
di cui con vittime disesso femminile,119,120,126,80,76
di cui in ambito familiare /affettivo,147,151,142,94,95
di cui con vittime disesso femminile,101,103,104,70,61
di cui da partner/ex partner,78,80,68,45,42
di cui con vittime di sesso femminile,68,70,61,,38
