,2020,2021,2022,1gennaio 30aprile2022,1gennaio 30aprile2023
Omicidi commessi,286,305,320,108,108
...dicuiconvittimedisessofemminile,119,120,126,41,38
...di cui in ambito familiare/affettivo,147,150,141,51,50
...dicuiconvittimedisessofemminile,101,103,104,37,34
…di cui da partner/ex partner,73,79,67,22,23
...dicuiconvittimedisessofemminile,68,70,61,22,21
