,2019,2020,2021,1gennaio 6marzo2021,1gennaio 6marzo2022
Omicidi commessi,315,287,302,43,46
...dicuiconvittimedisessofemminile,109,117,119,17,13
...di cui in ambito familiare/affettivo,151,147,147,26,20
...dicuiconvittimedisessofemminile,92,101,103,15,12
…di cui da partner/ex partner,78,73,77,15,8
...dicuiconvittimedisessofemminile,66,68,70,13,8
