,2020,2021,2022,1gennaio 19novembre2022,1gennaio 19novembre2023
Omicidi commessi,287,308,325,283,295
...dicuiconvittimedisessofemminile,119,122,128,109,106
...di cui in ambito familiare/affettivo,147,153,144,124,130
...dicuiconvittimedisessofemminile,101,105,104,91,87
…di cui da partner/ex partner,73,80,69,58,60
...dicuiconvittimedisessofemminile,68,70,61,53,55
