ID,DATAISTITUZIONE,DATACESSAZIONE,CODISTAT,CODCATASTALE,DENOMINAZIONE_IT,DENOMTRASLITTERATA,ALTRADENOMINAZIONE,ALTRADENOMTRASLITTERATA,IDPROVINCIA,IDPROVINCIAISTAT,IDREGIONE,IDPREFETTURA,STATO,SIGLAPROVINCIA,FONTE,DATAULTIMOAGG,COD_DENOM
16841,1946-04-02,9999-12-31,063014,B696,CAPRI,CAPRI,,,63,063,15,NA,A,NA,,2016-06-17,
1847,1980-10-19,9999-12-31,083010,B695,CAPRI LEONE,CAPRI LEONE,,,83,083,19,ME,A,ME,,2016-06-17,
1849,1947-06-17,9999-12-31,022040,B697,CAPRIANA,CAPRIANA,,,22,022,04,TN,A,TN,,2016-06-17,
1850,1957-07-12,9999-12-31,017037,B698,CAPRIANO DEL COLLE,CAPRIANO DEL COLLE,,,17,017,03,BS,A,BS,,2016-06-17,
1852,1929-06-15,9999-12-31,006029,B701,CAPRIATA D'ORBA,CAPRIATA D'ORBA,,,6,006,01,AL,A,AL,,2016-06-17,
16842,2011-09-01,9999-12-31,016051,B703,CAPRIATE SAN GERVASIO,CAPRIATE SAN GERVASIO,,,16,016,03,BG,A,BG,,2016-06-17,
1855,1945-09-01,9999-12-31,061014,B704,CAPRIATI A VOLTURNO,CAPRIATI A VOLTURNO,,,61,061,15,CE,A,CE,,2016-06-17,
1856,1937-06-16,9999-12-31,001055,B705,CAPRIE,CAPRIE,,,1,001,01,TO,A,TO,,2016-06-17,
1857,1861-03-17,9999-12-31,064018,B706,CAPRIGLIA IRPINA,CAPRIGLIA IRPINA,,,64,064,15,AV,A,AV,,2016-06-17,
1858,1946-11-12,9999-12-31,005019,B707,CAPRIGLIO,CAPRIGLIO,,,5,005,01,AT,A,AT,,2016-06-17,
1859,1992-04-16,9999-12-31,096013,B708,CAPRILE,CAPRILE,,,96,096,01,BI,A,BI,,2016-06-17,
16843,1927-09-08,9999-12-31,016052,B710,CAPRINO BERGAMASCO,CAPRINO BERGAMASCO,,,16,016,03,BG,A,BG,,2016-06-17,
1861,1867-08-26,9999-12-31,023018,B709,CAPRINO VERONESE,CAPRINO VERONESE,,,23,023,05,VR,A,VR,,2016-06-17,
1863,1861-03-17,9999-12-31,017038,B711,CAPRIOLO,CAPRIOLO,,,17,017,03,BS,A,BS,,2016-06-17,
16844,1955-08-19,9999-12-31,031001,B712,CAPRIVA DEL FRIULI,CAPRIVA DEL FRIULI,,,31,031,06,GO,A,GO,,2016-06-17,
16845,1947-09-25,9999-12-31,061015,B715,CAPUA,CAPUA,,,61,061,15,CE,A,CE,,2016-06-17,
1870,1861-03-17,9999-12-31,072014,B716,CAPURSO,CAPURSO,,,72,072,16,BA,A,BA,,2016-06-17,
1872,1946-03-09,9999-12-31,080021,B718,CARAFFA DEL BIANCO,CARAFFA DEL BIANCO,,,80,080,18,RC,A,RC,,2016-06-17,
1871,1863-07-13,9999-12-31,079017,B717,CARAFFA DI CATANZARO,CARAFFA DI CATANZARO,,,79,079,18,CZ,A,CZ,,2016-06-17,
1873,1861-03-17,9999-12-31,004040,B719,CARAGLIO,CARAGLIO,,,4,004,01,CN,A,CN,,2016-06-17,
1874,1862-12-19,9999-12-31,004041,B720,CARAMAGNA PIEMONTE,CARAMAGNA PIEMONTE,,,4,004,01,CN,A,CN,,2016-06-17,
1876,1960-09-29,9999-12-31,068007,B722,CARAMANICO TERME,CARAMANICO TERME,,,68,068,13,PE,A,PE,,2016-06-17,
1878,1958-01-14,9999-12-31,071010,B724,CARAPELLE,CARAPELLE,,,71,071,16,FG,A,FG,,2016-06-17,
1879,1906-08-12,9999-12-31,066024,B725,CARAPELLE CALVISIO,CARAPELLE CALVISIO,,,66,066,13,AQ,A,AQ,,2016-06-17,
1880,1861-03-17,9999-12-31,010010,B726,CARASCO,CARASCO,,,10,010,07,GE,A,GE,,2016-06-17,
1881,1861-03-17,9999-12-31,044010,B727,CARASSAI,CARASSAI,,,44,044,11,AP,A,AP,,2016-06-17,
1882,2009-06-30,9999-12-31,108015,B729,CARATE BRIANZA,CARATE BRIANZA,,,108,108,03,MB,A,MB,,2016-06-17,
1884,1927-12-24,9999-12-31,013044,B730,CARATE URIO,CARATE URIO,,,13,013,03,CO,A,CO,,2016-06-17,
1885,1861-03-17,9999-12-31,016053,B731,CARAVAGGIO,CARAVAGGIO,,,16,016,03,BG,A,BG,,2016-06-17,
1886,1927-01-12,9999-12-31,012031,B732,CARAVATE,CARAVATE,,,12,012,03,VA,A,VA,,2016-06-17,
1888,1950-02-21,9999-12-31,001056,B733,CARAVINO,CARAVINO,,,1,001,01,TO,A,TO,,2016-06-17,
16846,1929-03-16,9999-12-31,008012,B734,CARAVONICA,CARAVONICA,,,8,008,07,IM,A,IM,,2016-06-17,
1890,1927-01-12,9999-12-31,056016,B735,CARBOGNANO,CARBOGNANO,,,56,056,12,VT,A,VT,,2016-06-17,
1896,1863-03-30,9999-12-31,018030,B741,CARBONARA AL TICINO,CARBONARA AL TICINO,,,18,018,03,PV,A,PV,,2016-06-17,
1895,1927-01-12,9999-12-31,063015,B740,CARBONARA DI NOLA,CARBONARA DI NOLA,,,63,063,15,NA,A,NA,,2016-06-17,
1891,1863-02-23,9999-12-31,006030,B736,CARBONARA SCRIVIA,CARBONARA SCRIVIA,,,6,006,01,AL,A,AL,,2016-06-17,
16847,1953-09-13,9999-12-31,013045,B742,CARBONATE,CARBONATE,,,13,013,03,CO,A,CO,,2016-06-17,
1898,1861-03-17,9999-12-31,076019,B743,CARBONE,CARBONE,,,76,076,17,PZ,A,PZ,,2016-06-17,
1899,1866-11-19,9999-12-31,026008,B744,CARBONERA,CARBONERA,,,26,026,05,TV,A,TV,,2016-06-17,
22842,2016-04-28,9999-12-31,111009,B745,CARBONIA,CARBONIA,,,112,111,20,CA,A,SU,,2017-11-13,
1904,1927-01-12,9999-12-31,009018,B748,CARCARE,CARCARE,,,9,009,07,SV,A,SV,,2016-06-17,
1905,1866-11-19,9999-12-31,028022,B749,CARCERI,CARCERI,,,28,028,05,PD,A,PD,,2016-06-17,
1908,1927-01-12,9999-12-31,002029,B752,CARCOFORO,CARCOFORO,,,2,002,01,VC,A,VC,,2016-06-17,
1910,1927-01-12,9999-12-31,012032,B754,CARDANO AL CAMPO,CARDANO AL CAMPO,,,12,012,03,VA,A,VA,,2016-06-17,
16848,1911-02-08,9999-12-31,004042,B755,CARDÈ,CARDE',,,4,004,01,CN,A,CN,,2016-06-17,
22843,2016-04-28,9999-12-31,091103,M285,CARDEDU,CARDEDU,,,91,091,20,NU,A,NU,,2017-11-11,
16849,1977-02-27,9999-12-31,080022,B756,CARDETO,CARDETO,,,80,080,18,RC,A,RC,,2016-06-17,
16850,1927-12-27,9999-12-31,079018,B758,CARDINALE,CARDINALE,,,79,079,18,CZ,A,CZ,,2016-06-17,
1915,1861-03-17,9999-12-31,063016,B759,CARDITO,CARDITO,,,63,063,15,NA,A,NA,,2016-06-17,
1916,1923-11-24,9999-12-31,046008,B760,CAREGGINE,CAREGGINE,,,46,046,09,LU,A,LU,,2016-06-17,
16851,1945-10-05,9999-12-31,001057,B762,CAREMA,CAREMA,,,1,001,01,TO,A,TO,,2016-06-17,
1918,1992-04-16,9999-12-31,097014,B763,CARENNO,CARENNO,,,97,097,03,LC,A,LC,,2016-06-17,
16852,1955-11-26,9999-12-31,006031,B765,CARENTINO,CARENTINO,,,6,006,01,AL,A,AL,,2016-06-17,
1922,1861-03-17,9999-12-31,080023,B766,CARERI,CARERI,,,80,080,18,RC,A,RC,,2016-06-17,
1923,1927-01-12,9999-12-31,002030,B767,CARESANA,CARESANA,,,2,002,01,VC,A,VC,,2016-06-17,
1924,1927-01-12,9999-12-31,002031,B768,CARESANABLOT,CARESANABLOT,,,2,002,01,VC,A,VC,,2016-06-17,
1925,1947-10-01,9999-12-31,006032,B769,CAREZZANO,CAREZZANO,,,6,006,01,AL,A,AL,,2016-06-17,
1928,1992-04-16,9999-12-31,101003,B771,CARFIZZI,CARFIZZI,,,101,101,18,KR,A,KR,,2016-06-17,
16853,1980-07-11,9999-12-31,090022,B772,CARGEGHE,CARGEGHE,,,90,090,20,SS,A,SS,,2016-06-17,
16854,1921-05-12,9999-12-31,078025,B774,CARIATI,CARIATI,,,78,078,18,CS,A,CS,,2016-06-17,
1933,1861-03-17,9999-12-31,064019,B776,CARIFE,CARIFE,,,64,064,15,AV,A,AV,,2016-06-17,
1934,1861-03-17,9999-12-31,001058,B777,CARIGNANO,CARIGNANO,,,1,001,01,TO,A,TO,,2016-06-17,
16855,1950-04-05,9999-12-31,013046,B778,CARIMATE,CARIMATE,,,13,013,03,CO,A,CO,,2016-06-17,
16856,1946-07-03,9999-12-31,061016,B779,CARINARO,CARINARO,,,61,061,15,CE,A,CE,,2016-06-17,
16857,1989-02-19,9999-12-31,082021,B780,CARINI,CARINI,,,82,082,19,PA,A,PA,,2016-06-17,
