Descrizione reato,k 2013,k 2014,k 2015,k 2016,k 2017,k 2018,k 2019,k 2020,k 2021,k 2022,k gen-lug 2022,k gen-lug 2023
ATTI PERSECUTORI,12.583,12.446,11.758,13.117,14.251,14.871,16.065,16.744,18.724,18.671,11.160,9.127
MALTRATTAMENTI CONTRO FAMILIARI E CONVIVENTI,11.991,13.261,12.890,14.247,15.626,17.453,20.850,21.709,23.728,24.570,14.486,12.186
VIOLENZE SESSUALI,4.488,4.257,4.000,4.046,4.634,4.886,4.884,4.497,5.274,6.291,3.766,3.241
