categoria,2021,2022,2023,1 gennaio - 29 dicembre 2023,1 gennaio - 29 dicembre 2024
Omicidi commessi,311,328,340,338,308
di cui con vittime di sesso femminile,123,130,120,120,110
di cui in ambito familiare/affettivo,155,148,148,148,146
di cui con vittime di sesso femminile,107,106,96,96,95
di cui da partner/ex partner,82,70,70,70,68
di cui con vittime di sesso femminile,72,61,64,64,59
