categoria,2020,2021,2022,1 gennaio - 26 dicembre 2022,1 gennaio - 26 dicembre 2023
Omicidi commessi,287,308,325,322,323
di cui con vittime di sesso femminile,119,122,128,127,118
di cui in ambito familiare/affettivo,147,153,144,143,143
di cui con vittime di sesso femminile,101,105,104,103,96
di cui da partner/ex partner,73,80,69,69,68
di cui con vittime di sesso femminile,68,70,61,61,63
