categoria,2021,2022,2023,1 gennaio - 9 giugno 2023,1 gennaio - 9 giugno 2024
Omicidi commessi,310,328,336,154,113
di cui con vittime di sesso femminile,123,130,118,56,37
di cui in ambito familiare/affettivo,155,148,147,73,53
di cui con vittime di sesso femminile,107,106,96,48,33
di cui da partner/ex partner,82,70,70,31,25
di cui con vittime di sesso femminile,72,61,64,28,20
