categoria,2021,2022,2023,1 gennaio - 22 settembre 2023,1 gennaio - 22 settembre 2024
Omicidi commessi,310,328,338,260,215
di cui con vittime di sesso femminile,123,130,118,91,76
di cui in ambito familiare/affettivo,155,148,148,116,103
di cui con vittime di sesso femminile,107,106,96,76,68
di cui da partner/ex partner,82,70,70,53,47
di cui con vittime di sesso femminile,72,61,64,48,41
