categoria,2021,2022,2023,1 gennaio - 12 maggio 2023,1 gennaio - 12 maggio 2024
Omicidi commessi,309,328,335,127,92
di cui con vittime di sesso femminile,122,130,118,45,28
di cui in ambito familiare/affettivo,154,148,147,59,44
di cui con vittime di sesso femminile,106,106,96,39,26
di cui da partner/ex partner,81,70,70,26,20
di cui con vittime di sesso femminile,71,61,64,24,15
