categoria,2020,2021,2022,1 gennaio 25 settembre 2022,1 gennaio 25 settembre 2023
Omicidi commessi,287,306,322,224,243
di cui con vittime di sesso femminile,119,120,126,84,84
di cui in ambito familiare/affettivo,147,151,142,99,107
di cui con vittime di sesso femminile,101,103,104,74,69
di cui da partner/ex partner,73,80,68,47,48
di cui con vittime di sesso femminile,68,70,61,44,44
