categoria,2020,2021,2022,1 gennaio 1 ottobre 2022,1 gennaio 1 ottobre 2023
Omicidi commessi,287,306,322,230,256
di cui con vittime di sesso femminile,119,120,126,85,90
di cui in ambito familiare/affettivo,147,151,143,101,115
di cui con vittime di sesso femminile,101,103,104,74,75
di cui da partner/ex partner,73,80,69,49,51
di cui con vittime di sesso femminile,68,70,61,44,47
