categoria,2020,2021,2022,1 gennaio - 11 dicembre 2022,1 gennaio - 11 dicembre 2023
Omicidi commessi,287,308,325,303,307
di cui con vittime di sesso femminile,119,122,128,117,110
di cui in ambito familiare/affettivo,147,153,144,133,138
di cui con vittime di sesso femminile,101,105,104,97,91
di cui da partner/ex partner,73,80,69,62,64
di cui con vittime di sesso femminile,68,70,61,56,59
