categoria,2021,2022,2023,1 gennaio - 10 novembre 2023,1 gennaio - 10 novembre 2024
Omicidi commessi,311,327,338,299,266
di cui con vittime di sesso femminile,123,129,118,106,97
di cui in ambito familiare/affettivo,155,148,148,132,127
di cui con vittime di sesso femminile,107,106,96,87,83
di cui da partner/ex partner,82,70,70,63,58
di cui con vittime di sesso femminile,72,61,64,57,51
